year,month,rank,net_worth,full_name,year of birth,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,self_made,wealth_status
2024,4,79,25.2 B,"John Menard, Jr.",1940,84,Male,United States,United States,Eau Claire,Fashion & Retail,TRUE,Increased
2024,4,80,25.1 B,He Xiangjian & family,1942,81,Male,China,China,Foshan,Manufacturing,TRUE,Increased
2024,4,81,24.5 B,Jack Ma,1964,59,Male,China,China,Hangzhou,Technology,TRUE,Increased
2024,4,81,24.5 B,Elaine Marshall & family,1942,81,Female,United States,United States,Dallas,Diversified,FALSE,Returned to List
2024,4,83,24.3 B,Autry Stephens,1938,86,Male,United States,United States,Midland,Energy,TRUE,Increased
2024,4,84,24.0 B,Eyal Ofer,1950,73,Male,Israel,Monaco,Monte Carlo,Diversified,FALSE,Increased
2024,4,85,23.7 B,Vladimir Potanin,1961,63,Male,Russia,Russia,Moscow,Metals & Mining,TRUE,Remained Even
2024,4,86,23.4 B,Gennady Timchenko,1952,71,Male,Russia,Russia,Moscow,Energy,TRUE,Increased
2024,4,87,23.1 B,Takemitsu Takizaki,1945,78,Male,Japan,Japan,Osaka,Manufacturing,TRUE,Increased
2024,4,88,23.0 B,Vinod Adani,1949,75,Male,Cyprus,United Arab Emirates,Dubai,Diversified,TRUE,Increased
2024,4,89,22.9 B,Robin Zeng,1969,55,Male,Hong Kong,China,Ningde,Automotive,TRUE,Decreased
2024,4,90,21.3 B,Cyrus Poonawalla,1941,82,Male,India,India,Pune,Healthcare,FALSE,Decreased
2024,4,91,21.1 B,Andrey Melnichenko & family,1972,52,Male,Russia,United Arab Emirates,Ras Al Khaimah,Metals & Mining,TRUE,Decreased
2024,4,92,20.9 B,Diane Hendricks,1947,77,Female,United States,United States,Afton,Construction & Engineering,TRUE,Increased
2024,4,92,20.9 B,Kushal Pal Singh,1931,92,Male,India,United Kingdom,London,Real Estate,FALSE,Increased
2024,4,94,20.6 B,Vicky Safra & family,1953,71,Female,Brazil,Switzerland,Crans-Montana,Finance & Investments,FALSE,Increased
2024,4,94,20.6 B,Eric Schmidt,1955,68,Male,United States,United States,Atherton,Technology,TRUE,Increased
2024,4,94,20.6 B,David Tepper,1957,66,Male,United States,United States,Palm Beach,Finance & Investments,TRUE,Increased
2024,4,97,19.8 B,Steve Cohen,1956,67,Male,United States,United States,Greenwich,Finance & Investments,TRUE,Increased
2024,4,98,19.7 B,Kumar Birla,1967,56,Male,India,India,Mumbai,Diversified,FALSE,Increased
2024,4,99,19.6 B,Rick Cohen & family,1952,71,Male,United States,United States,Keene,Technology,FALSE,Increased
2024,4,100,19.5 B,Rupert Murdoch & family,1931,93,Male,United States,United States,New York,Media & Entertainment,FALSE,Increased
2024,4,101,19.0 B,Andrew Forrest & family,1961,62,Male,Australia,Australia,Perth,Metals & Mining,TRUE,Decreased
2024,4,102,18.5 B,Harold Hamm & family,1945,78,Male,United States,United States,Oklahoma City,Energy,TRUE,Remained Even
2024,4,103,18.3 B,Dustin Moskovitz,1984,39,Male,United States,United States,San Francisco,Technology,TRUE,Increased
2024,4,104,18.0 B,Donald Bren,1932,91,Male,United States,United States,Newport Beach,Real Estate,TRUE,Increased
2024,4,104,18.0 B,Renata Kellnerova & family,1967,56,Female,Czech Republic,Czech Republic,Prague,Finance & Investments,FALSE,Increased
2024,4,104,18.0 B,Michael Platt,1968,56,Male,United Kingdom,Switzerland,Geneva,Finance & Investments,TRUE,Increased
2024,4,107,17.6 B,Radhakishan Damani,1955,69,Male,India,India,Mumbai,Fashion & Retail,TRUE,Increased
2024,4,108,16.9 B,John Fredriksen,1945,79,Male,Cyprus,United Kingdom,London,Logistics,TRUE,Increased
2024,4,109,16.8 B,Eric Li,1963,60,Male,China,China,Hangzhou,Automotive,TRUE,Decreased
2024,4,110,16.6 B,Stefan Persson,1947,76,Male,Sweden,Sweden,Stockholm,Fashion & Retail,FALSE,Increased
2024,4,111,16.5 B,James Ratcliffe,1953,71,Male,United Kingdom,United Kingdom,London,Manufacturing,TRUE,Decreased
2024,4,111,16.5 B,Harry Triguboff,1933,91,Male,Australia,Australia,Sydney,Real Estate,TRUE,Increased
2024,4,113,16.4 B,Jorge Paulo Lemann & family,1939,84,Male,Brazil,Switzerland,Zurich,Food & Beverage,TRUE,Increased
2024,4,113,16.4 B,Lakshmi Mittal,1950,73,Male,India,United Kingdom,London,Metals & Mining,FALSE,Decreased
2024,4,115,16.2 B,Ravi Jaipuria,1954,69,Male,India,India,Delhi,Food & Beverage,FALSE,Increased
2024,4,115,16.2 B,Stanley Kroenke,1947,76,Male,United States,United States,Electra,Sports,TRUE,Increased
2024,4,117,16.1 B,Jan Koum,1976,48,Male,United States,United States,Atherton,Technology,TRUE,Increased
2024,4,120,15.8 B,Idan Ofer,1955,68,Male,Israel,United Kingdom,London,Diversified,FALSE,Increased
2024,4,121,15.6 B,Nicolas Puech,1943,81,Male,France,Switzerland,Martigny,Fashion & Retail,FALSE,Increased
2024,4,122,15.5 B,Pavel Durov,1984,39,Male,United Arab Emirates,United Arab Emirates,Dubai,Technology,TRUE,Increased
2024,4,122,15.5 B,Qin Yinglin,1965,58,Male,China,China,Nanyang,Food & Beverage,TRUE,Decreased
2024,4,124,15.4 B,Ray Dalio,1949,74,Male,United States,United States,Greenwich,Finance & Investments,TRUE,Decreased
2024,4,125,15.3 B,Philip Anschutz,1939,84,Male,United States,United States,Denver,Finance & Investments,FALSE,Increased
2024,4,126,15.1 B,Leonard Lauder,1933,91,Male,United States,United States,New York,Fashion & Retail,FALSE,Decreased
2024,4,126,15.1 B,Li Xiting,1951,73,Male,Singapore,China,Shenzhen,Healthcare,TRUE,Decreased
2024,4,126,15.1 B,Peter Woo,1946,77,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,FALSE,Decreased
2024,4,129,14.8 B,Andreas von Bechtolsheim & family,1955,68,Male,Germany,United States,Palo Alto,Technology,TRUE,Increased
2024,4,130,14.6 B,George Kaiser,1942,81,Male,United States,United States,Tulsa,Energy,FALSE,Increased
2024,4,131,14.2 B,Wang Chuanfu,1966,58,Male,China,China,Shenzhen,Automotive,TRUE,Decreased
2024,4,132,14.1 B,Charlene de Carvalho-Heineken & family,1954,69,Female,Netherlands,United Kingdom,London,Food & Beverage,FALSE,Decreased
2024,4,132,14.1 B,David Duffield,1940,83,Male,United States,United States,Incline Village,Technology,TRUE,Increased
2024,4,132,14.1 B,Henry Samueli,1954,69,Male,United States,United States,Newport Beach,Technology,TRUE,Increased
2024,4,135,14.0 B,"Theo Albrecht, Jr. & family",1951,73,Male,Germany,Germany,Mulheim an der Ruhr,Fashion & Retail,FALSE,Decreased
2024,4,135,14.0 B,Leon Black,1951,72,Male,United States,United States,New York,Finance & Investments,TRUE,Increased
2024,4,137,13.8 B,Jerry Jones,1942,81,Male,United States,United States,Dallas,Sports,TRUE,Increased
2024,4,137,13.8 B,Wang Wei,1970,53,Male,China,China,Shenzhen,Service,TRUE,Decreased
2024,4,139,13.7 B,David Green & family,1941,82,Male,United States,United States,Oklahoma City,Fashion & Retail,TRUE,Decreased
2024,4,140,13.6 B,James Dyson,1947,76,Male,United Kingdom,United Kingdom,Gloucestershire,Manufacturing,TRUE,Increased
2024,4,140,13.6 B,David Sun,1951,72,Male,United States,United States,Irvine,Technology,TRUE,Increased
2024,4,140,13.6 B,John Tu,1941,82,Male,United States,United States,Rolling Hills,Technology,TRUE,Increased
2024,4,140,13.6 B,Christy Walton,1949,75,Female,United States,United States,Jackson,Fashion & Retail,FALSE,Increased
2024,4,144,13.4 B,Dang Yanbao,1973,51,Male,China,China,Yinchuan,Metals & Mining,TRUE,Increased
2024,4,144,13.4 B,Aliko Dangote,1957,66,Male,Nigeria,Nigeria,Lagos,Manufacturing,TRUE,Decreased
2024,4,144,13.4 B,Ricardo Salinas Pliego & family,1955,68,Male,Mexico,Mexico,Mexico City,Fashion & Retail,FALSE,Increased
2024,4,144,13.4 B,Alisher Usmanov,1953,70,Male,Russia,Uzbekistan,Tashkent,Metals & Mining,TRUE,Decreased
2024,4,148,13.3 B,Mike Cannon-Brookes,1979,44,Male,Australia,Australia,Sydney,Technology,TRUE,Increased
2024,4,148,13.3 B,Uday Kotak,1959,65,Male,India,India,Mumbai,Finance & Investments,TRUE,Increased
2024,4,150,13.1 B,Joseph Lau,1951,72,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,TRUE,Decreased
2024,4,152,13.0 B,Scott Farquhar,1979,44,Male,Australia,Australia,Sydney,Technology,TRUE,Increased
2024,4,153,12.8 B,Laurene Powell Jobs & family,1963,60,Female,United States,United States,Palo Alto,Technology,FALSE,Increased
2024,4,154,12.7 B,Goh Cheng Liang,1927,96,Male,Singapore,Singapore,Singapore,Manufacturing,TRUE,Decreased
2024,4,154,12.7 B,George Roberts,1943,80,Male,United States,United States,Atherton,Finance & Investments,TRUE,Increased
2024,4,156,12.6 B,David Cheriton,1951,73,Male,Canada,United States,Palo Alto,Technology,TRUE,Increased
2024,4,156,12.6 B,Jeffery Hildebrand,1959,65,Male,United States,United States,Houston,Energy,TRUE,Increased
2024,4,156,12.6 B,Georg Stumpf,1972,51,Male,Austria,Austria,Vienna,Diversified,TRUE,Increased
2024,4,159,12.5 B,Dhanin Chearavanont,1939,84,Male,Thailand,Thailand,Bangkok,Diversified,FALSE,Decreased
2024,4,159,12.5 B,Anders Holch Povlsen,1972,51,Male,Denmark,Denmark,Aarhus,Fashion & Retail,FALSE,Increased
2024,4,161,12.4 B,Israel Englander,1948,75,Male,United States,United States,New York,Finance & Investments,TRUE,Increased
2024,4,162,12.2 B,Shahid Khan,1950,73,Male,United States,United States,Naples,Automotive,TRUE,Increased
2024,4,162,12.2 B,Johann Rupert & family,1950,73,Male,South Africa,South Africa,Cape Town,Fashion & Retail,FALSE,Increased
2024,4,164,12.1 B,Hasso Plattner & family,1944,80,Male,Germany,Germany,Heidelberg,Technology,TRUE,Increased
2024,4,165,12.0 B,Kwong Siu-hing,1929,94,Female,Hong Kong,Hong Kong,Hong Kong,Real Estate,FALSE,Decreased
2024,4,165,12.0 B,Azim Premji,1945,78,Male,India,India,Bangalore,Technology,FALSE,Increased
2024,4,167,11.9 B,"Henry Nicholas, III.",1959,64,Male,United States,United States,Newport Coast,Technology,TRUE,Increased
2024,4,168,11.8 B,"Edward Johnson, IV.",1964,59,Male,United States,United States,Boston,Finance & Investments,FALSE,Increased
2024,4,169,11.7 B,John Doerr,1951,72,Male,United States,United States,Woodside,Finance & Investments,TRUE,Increased
2024,4,169,11.7 B,Henry Kravis,1944,80,Male,United States,United States,New York,Finance & Investments,TRUE,Increased
2024,4,169,11.7 B,Eric Smidt,1960,64,Male,United States,United States,Beverly Hills,Fashion & Retail,TRUE,Increased
2024,4,172,11.6 B,Lu Xiangyang,1962,61,Male,China,China,Guangzhou,Automotive,TRUE,Decreased
2024,4,173,11.5 B,Andrew Beal,1952,71,Male,United States,United States,Dallas,Finance & Investments,TRUE,Increased
2024,4,173,11.5 B,Jay Y. Lee,1968,55,Male,South Korea,South Korea,Seoul,Technology,FALSE,Increased
2024,4,173,11.5 B,Michael Rubin,1972,51,Male,United States,United States,Bryn Mawr,Fashion & Retail,TRUE,Increased
2024,4,176,11.4 B,Robert Kuok,1923,100,Male,Malaysia,Hong Kong,Hong Kong,Diversified,TRUE,Decreased
2024,4,177,11.3 B,Giorgio Armani,1934,89,Male,Italy,Italy,Milan,Fashion & Retail,TRUE,Increased
2024,4,177,11.3 B,Jay Chaudhry,1959,64,Male,United States,United States,Reno,Technology,TRUE,Increased
2024,4,177,11.3 B,Charoen Sirivadhanabhakdi,1944,79,Male,Thailand,Thailand,Bangkok,Food & Beverage,TRUE,Decreased
2024,4,180,11.2 B,Brian Armstrong,1983,41,Male,United States,United States,San Francisco,Finance & Investments,TRUE,Increased
2024,4,180,11.2 B,Ernesto Bertarelli,1965,58,Male,Switzerland,Switzerland,Gstaad,Healthcare,FALSE,Increased
2024,4,180,11.2 B,Bubba Cathy,1954,69,Male,United States,United States,Atlanta,Food & Beverage,FALSE,Increased
2024,4,180,11.2 B,Dan Cathy,1953,71,Male,United States,United States,Atlanta,Food & Beverage,FALSE,Increased
2024,4,180,11.2 B,Trudy Cathy White,1955,68,Female,United States,United States,Hampton,Food & Beverage,FALSE,Increased
2024,4,180,11.2 B,Lui Che Woo,1929,95,Male,Hong Kong,Hong Kong,Hong Kong,Gambling & Casinos,TRUE,Decreased
2024,4,180,11.2 B,Wei Jianjun & family,1964,60,Male,China,China,Baoding,Automotive,TRUE,Decreased
2024,4,180,11.2 B,Sky Xu,1984,40,Male,China,China,Guangzhou,Fashion & Retail,TRUE,Increased
2024,4,188,11.1 B,Melinda French Gates,1964,59,Female,United States,United States,Medina,Technology,FALSE,Increased
2024,4,188,11.1 B,Robert Kraft,1941,82,Male,United States,United States,Brookline,Sports,TRUE,Increased
2024,4,190,11.0 B,Brian Chesky,1981,42,Male,United States,United States,San Francisco,Technology,TRUE,Increased
2024,4,190,11.0 B,Barry Lam,1949,74,Male,Taiwan,Taiwan,Taipei,Technology,TRUE,Increased
2024,4,190,11.0 B,Donald Newhouse,1929,94,Male,United States,United States,New York,Media & Entertainment,FALSE,Increased
2024,4,190,11.0 B,Mikhail Prokhorov,1965,58,Male,Russia,Switzerland,Frauenfeld,Finance & Investments,TRUE,Decreased
2024,4,190,11.0 B,Manuel Villar,1949,74,Male,Philippines,Philippines,Manila,Real Estate,TRUE,Increased
2024,4,195,10.9 B,Jiang Rensheng & family,1953,70,Male,China,China,Chongqing,Healthcare,TRUE,Decreased
2024,4,195,10.9 B,Lei Jun,1969,54,Male,China,China,Beijing,Technology,TRUE,Increased
2024,4,195,10.9 B,Georg Schaeffler,1964,59,Male,Germany,Germany,Herzogenaurach,Automotive,FALSE,Increased
2024,4,195,10.9 B,Marcel Herrmann Telles & family,1950,74,Male,Brazil,Brazil,Sao Paulo,Food & Beverage,TRUE,Increased
2024,4,199,10.8 B,David Velez & family,1981,42,Male,Colombia,Brazil,Sao Paulo,Finance & Investments,TRUE,Increased
2024,4,200,10.7 B,Suleiman Kerimov & family,1966,58,Male,Russia,Russia,Moscow,Finance & Investments,TRUE,Increased
2024,4,200,10.7 B,Sarath Ratanavadi,1965,58,Male,Thailand,Thailand,Bangkok,Energy,TRUE,Decreased
2024,4,200,10.7 B,Patrick Ryan,1937,86,Male,United States,United States,Winnetka,Finance & Investments,TRUE,Increased
2024,4,203,10.6 B,Marc Benioff,1964,59,Male,United States,United States,San Francisco,Technology,TRUE,Increased
2024,4,203,10.6 B,Nathan Blecharczyk,1983,40,Male,United States,United States,San Francisco,Technology,TRUE,Increased
2024,4,203,10.6 B,Carl Cook,1962,61,Male,United States,United States,Bloomington,Healthcare,FALSE,Increased
2024,4,203,10.6 B,Huang Shilin,1967,57,Male,China,China,Ningde,Automotive,TRUE,Decreased
2024,4,203,10.6 B,Friedhelm Loh,1946,77,Male,Germany,Germany,Haiger,Manufacturing,FALSE,Increased
2024,4,203,10.6 B,Anthony Pratt,1960,63,Male,Australia,Australia,Melbourne,Manufacturing,FALSE,Decreased
2024,4,203,10.6 B,Viktor Rashnikov,1948,75,Male,Russia,Russia,Magnitogorsk,Manufacturing,TRUE,Increased
2024,4,210,10.5 B,Li Shuirong & family,1956,67,Male,China,China,Hangzhou,Manufacturing,TRUE,Increased
2024,4,210,10.5 B,Antony Ressler,1960,63,Male,United States,United States,Los Angeles,Finance & Investments,TRUE,Increased
2024,4,213,10.4 B,Alexander Gerko,1979,44,Male,United Kingdom,United Kingdom,London,Finance & Investments,TRUE,Increased
2024,4,213,10.4 B,Graeme Hart,1955,68,Male,New Zealand,New Zealand,Auckland,Finance & Investments,TRUE,Increased
2024,4,213,10.4 B,Mangal Prabhat Lodha,1955,68,Male,India,India,Mumbai,Real Estate,TRUE,Increased
2024,4,216,10.3 B,Bernard Marcus,1929,94,Male,United States,United States,Atlanta,Fashion & Retail,TRUE,Increased
2024,4,216,10.3 B,Yu Yong,1961,63,Male,China,China,Shanghai,Finance & Investments,TRUE,Increased
2024,4,218,10.2 B,Antonia Ax:son Johnson & family,1943,80,Female,Sweden,Sweden,Stockholm,Diversified,FALSE,Increased
2024,4,218,10.2 B,Gong Hongjia & family,1965,59,Male,Hong Kong,Hong Kong,Hong Kong,Finance & Investments,TRUE,Decreased
2024,4,218,10.2 B,Judy Love & family,1937,86,Female,United States,United States,Oklahoma City,Fashion & Retail,TRUE,Decreased
2024,4,221,10.1 B,James Goodnight,1943,81,Male,United States,United States,Cary,Technology,TRUE,Increased
2024,4,221,10.1 B,Nancy Walton Laurie,1951,72,Female,United States,United States,Henderson,Fashion & Retail,FALSE,Increased
2024,4,221,10.1 B,Stephen Ross,1940,83,Male,United States,United States,New York,Real Estate,TRUE,Decreased
2024,4,224,10.0 B,Vincent Bolloré & family,1952,72,Male,France,France,Paris,Finance & Investments,FALSE,Increased
2024,4,224,10.0 B,Ann Walton Kroenke,1948,75,Female,United States,United States,Electra,Fashion & Retail,FALSE,Increased
2024,4,224,10.0 B,Liu Yongxing,1948,75,Male,China,China,Shanghai,Service,TRUE,Increased
2024,4,224,10.0 B,Enrique Razon Jr.,1960,64,Male,Philippines,Philippines,Manila,Logistics,FALSE,Increased
2024,4,228,9.9 B,Mat Ishbia,1980,44,Male,United States,United States,Bloomfield Hills,Finance & Investments,FALSE,Increased
2024,4,228,9.9 B,Elizabeth Johnson,1963,60,Female,United States,United States,Boston,Finance & Investments,FALSE,Increased
2024,4,228,9.9 B,Shapoor Mistry,1964,59,Male,Ireland,India,Mumbai,Diversified,FALSE,Increased
2024,4,228,9.9 B,Xavier Niel,1967,56,Male,France,France,Paris,Telecom,TRUE,Increased
2024,4,232,9.8 B,Viatcheslav Kantor,1953,70,Male,Russia,Israel,Herzliya,Manufacturing,TRUE,Decreased
2024,4,232,9.8 B,John Malone,1941,83,Male,United States,United States,Elizabeth,Media & Entertainment,TRUE,Increased
2024,4,232,9.8 B,Charles Schwab,1937,86,Male,United States,United States,Woodside,Finance & Investments,TRUE,Increased
2024,4,232,9.8 B,Andreas Struengmann & family,1950,74,Male,Germany,Germany,Tegernsee,Healthcare,TRUE,Decreased
2024,4,232,9.8 B,Thomas Struengmann & family,1950,74,Male,Germany,Germany,Tegernsee,Healthcare,TRUE,Decreased
2024,4,237,9.7 B,Roman Abramovich & family,1966,57,Male,Russia,Russia,Moscow,Diversified,TRUE,Increased
2024,4,237,9.7 B,Jack Dangermond,1945,78,Male,United States,United States,Redlands,Technology,TRUE,Increased
